,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
cbb_totals_ORB,0.16214870961438305,0.08985168529943371,-0.08517985156567066,-0.05365364362830213,-0.09510032446969283,-0.05035735712416249,-0.036999207633428004,-0.0028158829553935455,-0.09372419473196705,0.08641361574985917,0.06294206758145983,-0.06565708710080319,0.12117437222563664
cbb_totals_PF,0.05052125667639005,0.09172624284323873,-0.1558683465070325,-0.09180515416703847,-0.05608863996402916,0.022939624516194097,0.07730440079975778,0.0897200356293337,0.31135602715663857,0.18643057865366586,0.12816524136539403,0.12427613835124832,-0.029851023968212865
cbb_totals_PTS,-0.06737057439477524,0.21750283584866828,0.020051756442305464,0.06243709845355793,-0.0622303080619569,0.017202808610522594,-0.018642503493114266,-0.00978388676733435,0.07756816864584498,0.005696258442487009,0.0009678383904795017,-0.021472878593319467,-0.0067102169071106945
cbb_totals_STL,-0.08569390396618626,0.07712045761861107,-0.10739404459079671,-0.056547454847790786,0.26504174730942653,-0.12195194595668093,-0.09280404657972553,-0.09558196037786439,0.10739636221232317,0.12604073601955218,0.09840498698016464,0.004812243834811805,0.18942877006019865
cbb_totals_TOV,-0.05684072760229652,0.1331614907607164,-0.17283115743483018,0.07930668492481216,0.09253394291665232,0.108296613981828,-0.0979627212447182,0.2564208562440007,0.14455580006593696,-0.09963230367805373,-0.01061155558227697,-0.0244194399829077,-0.032418632476909244
cbb_totals_TRB,0.13266561664409704,0.13494501204821036,-0.09124336234243272,-0.0603544466860176,-0.10295874231926082,-0.1371378929701739,-0.05433689925170203,0.1340158125921606,-0.09569442178605563,-0.04292447464036408,0.06638447364333121,-0.07071439903306376,0.0776740079286295
cbb_totals_eFGpct,0.1037996871545286,0.054461309105343,0.23916415318367173,-0.12244069718529152,0.04319314978565059,0.14608756710245335,-0.10194550834094439,0.0932022163043701,0.1111386567214365,0.027983101956258655,0.023936956576505,-0.03446000034369148,0.03924052047239925
nba_debut_age,-0.03188372743087849,0.015688188328624213,0.02694123617014996,-0.04143951582951224,0.01446974275037588,-0.012549443132455268,-0.017424355287559652,0.1424789293304956,-0.13965493954955033,0.048134847850258816,0.07263168291404357,0.37357221587805667,0.3145085692048558
pos_is_C,0.12870552162065457,-0.003418369572547195,0.0007183261928001966,-0.054273309781132324,-0.013039187715921404,0.0984879696123024,0.07267327098494002,-0.08933333936332975,0.14566298874740652,-0.3182193961835212,-0.0499092300190433,0.2441845520040681,0.03442035609579614
pos_is_PF,0.10020431937542326,0.01916665795061125,-0.014257679405993972,0.02247950871771612,-0.051020261674689225,-0.049897176654678625,-0.030172013323229902,0.17128993450997743,-0.168104741156254,0.27022628220270495,-0.18287424591544502,-0.2965136815551967,-0.20593397390633186
pos_is_SF,-0.017807719562841363,-0.00996601494207943,0.011112649117932832,-0.0064342465918346544,-0.10998259245335067,-0.1309814083624265,-0.024077413373190894,0.013238456365019849,0.010482260138231695,0.08870309695996627,0.5602560648855388,0.29240447967965194,-0.11993169689770905
pos_is_SG,-0.0850387106102826,-0.026252618177778027,0.05012317192742515,0.008244414975340161,-0.031643107408831264,-0.0030593985111095068,0.016747085786108895,-0.05558430137076083,0.1071794676836873,-0.06932536207129936,-0.3486900499498471,-0.26003707901040773,0.47086559135545425
