nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
allenra02,7.6,15.9,0.476,4.0,10.3,0.386,5.7,,,0.2,4.8,112.0,11.5,26.2,0.44,6.2,6.9,0.899,296.0,296.0,SEA (5 Yrs),11654.0,1.5,115.0,2.9,33.3,,1.8,SEA (5 Yrs),3.4,6.3,SEA (5 Yrs),0.516
allenra02,3.7,7.4,0.501,3.4,8.5,0.398,3.7,,,0.3,4.8,108.0,7.1,15.9,0.446,3.3,3.6,0.894,152.0,9.0,MIA (2 Yrs),3971.0,0.8,112.0,3.2,20.8,,1.6,MIA (2 Yrs),2.5,5.6,MIA (2 Yrs),0.552
allento01,7.0,14.5,0.483,0.5,1.3,0.387,2.6,23.0,,1.0,5.5,104.0,7.5,15.8,0.475,4.6,6.2,0.737,77.0,34.0,NBA,1262.0,3.5,106.0,6.4,20.1,SG,3.1,2004-05,3.1,9.0,BOS,0.491
allento01,6.3,12.8,0.492,0.6,1.8,0.324,3.6,24.0,,1.0,4.2,106.0,6.9,14.6,0.471,5.3,7.1,0.746,51.0,9.0,NBA,978.0,1.7,103.0,6.7,19.6,PG,2.7,2005-06,3.6,5.9,BOS,0.491
allento01,8.1,14.6,0.553,0.5,2.1,0.242,3.6,25.0,,0.8,5.8,104.0,8.6,16.8,0.514,6.8,8.7,0.784,33.0,18.0,NBA,805.0,2.3,105.0,5.6,24.6,SG,3.2,2006-07,4.9,8.0,BOS,0.529
allento01,5.8,12.8,0.455,0.7,2.2,0.316,4.4,26.0,,0.8,5.2,99.0,6.5,15.0,0.434,5.3,7.0,0.762,75.0,11.0,NBA,1373.0,1.3,98.0,6.5,19.0,SG,2.4,2007-08,4.2,6.5,BOS,0.458
allento01,7.8,15.4,0.51,0.4,1.6,0.222,4.0,27.0,,1.4,4.9,100.0,8.2,17.0,0.482,4.7,6.5,0.725,46.0,2.0,NBA,887.0,1.3,98.0,5.9,21.5,SG,3.2,2008-09,4.6,6.2,BOS,0.493
allento01,7.6,14.6,0.52,0.0,0.3,0.0,4.2,28.0,,1.1,5.5,101.0,7.6,14.9,0.51,4.2,7.0,0.605,54.0,8.0,NBA,889.0,3.1,101.0,6.4,19.4,SG,3.5,2009-10,3.9,8.5,BOS,0.51
allento01,8.6,16.4,0.527,0.1,0.8,0.174,3.6,29.0,"DPOY-4,6MOY-11,DEF2",1.5,4.3,101.0,8.8,17.2,0.51,4.8,6.4,0.753,72.0,31.0,NBA,1494.0,2.4,110.0,5.6,22.5,SG,4.5,2010-11,3.0,6.7,MEM,0.514
allento01,7.0,14.6,0.479,0.3,0.9,0.308,2.7,30.0,"DPOY-6,DEF1",1.1,4.7,100.0,7.3,15.5,0.469,4.9,6.1,0.8,58.0,57.0,NBA,1525.0,3.4,106.0,4.9,19.7,SG,3.6,2011-12,3.3,8.1,MEM,0.478
allento01,7.2,15.8,0.458,0.1,0.6,0.125,2.5,31.0,"DPOY-5,DEF1",1.1,6.2,98.0,7.3,16.4,0.445,3.4,4.8,0.717,79.0,79.0,NBA,2109.0,3.1,102.0,5.4,18.1,SG,3.1,2012-13,2.4,9.3,MEM,0.447
allento01,8.1,15.3,0.527,0.5,2.0,0.234,3.9,32.0,,0.8,5.4,101.0,8.5,17.3,0.494,3.2,5.1,0.628,55.0,28.0,NBA,1278.0,3.3,102.0,5.1,20.7,SG,3.8,2013-14,3.8,8.7,MEM,0.507
allento01,6.8,13.5,0.505,0.3,0.9,0.345,2.7,33.0,"DPOY-7,DEF1",1.0,5.6,98.0,7.1,14.4,0.495,2.5,4.0,0.627,63.0,41.0,NBA,1648.0,3.3,103.0,5.3,17.1,SG,4.1,2014-15,2.7,8.9,MEM,0.505
allento01,6.4,13.6,0.468,0.5,1.3,0.357,2.2,34.0,"DPOY-8,DEF2",0.6,6.1,105.0,6.8,14.9,0.458,2.9,4.4,0.652,64.0,57.0,NBA,1620.0,3.3,101.0,5.6,17.0,SG,3.5,2015-16,2.5,9.4,MEM,0.474
allento01,7.0,14.7,0.479,0.4,1.5,0.278,2.7,35.0,DEF2,0.8,6.1,105.0,7.4,16.2,0.461,2.2,3.5,0.615,71.0,66.0,NBA,1914.0,4.5,101.0,4.8,17.5,SG,3.1,2016-17,2.7,10.6,MEM,0.473
allento01,7.0,13.8,0.506,0.7,2.1,0.333,1.6,36.0,,0.5,4.7,110.0,7.7,15.9,0.484,1.9,3.7,0.524,22.0,0.0,NBA,273.0,3.5,95.0,8.6,18.0,SF,1.9,2017-18,3.3,8.2,NOP,0.505
allento01,7.2,14.5,0.492,0.4,1.3,0.282,3.1,,,1.0,5.4,102.0,7.5,15.8,0.475,3.9,5.5,0.709,820.0,441.0,14 Yrs,18055.0,3.0,103.0,5.7,19.3,,3.4,14 Yrs,3.2,8.4,14 Yrs,0.487
allento01,7.3,14.8,0.489,0.3,1.1,0.269,2.9,,,1.0,5.6,101.0,7.6,15.9,0.474,3.3,4.8,0.695,462.0,359.0,MEM (7 Yrs),11588.0,3.4,103.0,5.2,18.8,,3.6,MEM (7 Yrs),2.9,8.9,MEM (7 Yrs),0.483
allento01,7.0,14.0,0.498,0.5,1.6,0.294,3.7,,,1.0,5.2,102.0,7.4,15.6,0.477,5.1,7.0,0.731,336.0,82.0,BOS (6 Yrs),6194.0,2.2,102.0,6.3,20.5,,3.0,BOS (6 Yrs),4.0,7.4,BOS (6 Yrs),0.492
allento01,7.0,13.8,0.506,0.7,2.1,0.333,1.6,,,0.5,4.7,110.0,7.7,15.9,0.484,1.9,3.7,0.524,22.0,0.0,NOP (1 Yr),273.0,3.5,95.0,8.6,18.0,,1.9,NOP (1 Yr),3.3,8.2,NOP (1 Yr),0.505
aminual01,4.1,9.4,0.437,1.6,5.1,0.315,2.1,20.0,,0.9,6.8,108.0,5.7,14.5,0.394,3.3,4.2,0.773,81.0,14.0,NBA,1452.0,2.7,94.0,4.3,16.3,SF,2.1,2010-11,3.7,9.5,LAC,0.45
aminual01,5.0,11.7,0.431,0.5,1.7,0.277,2.4,21.0,,1.3,7.8,103.0,5.5,13.4,0.411,3.2,4.2,0.754,66.0,21.0,NBA,1477.0,3.5,93.0,5.0,14.7,SF,2.2,2011-12,3.3,11.3,NOH,0.429
aminual01,5.8,11.9,0.486,0.1,0.5,0.211,2.7,22.0,,1.3,11.7,105.0,5.9,12.4,0.475,2.7,3.6,0.737,76.0,71.0,NBA,2066.0,3.6,101.0,4.0,14.6,SF,2.4,2012-13,3.0,15.4,NOH,0.479
