college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,,,,,,,,,,Career,Career,,,,,,,,,121.0,66.0,2731.0,,,,,,,Career,,,Career,
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,,,,,,,,,,FR,CUSA,,,,,,,,,30.0,17.0,508.0,,,,,C,,1999-00,,,Memphis,
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,,,,,,,,,,SO,CUSA,,,,,,,,,36.0,10.0,690.0,,,,,C,,2000-01,,,Memphis,
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,,,,,,,,,,JR,CUSA,,,,,,,,,36.0,21.0,781.0,,,,,C,,2001-02,,,Memphis,
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,,,,,,,,,,SR,CUSA,,,,,,,,,26.0,15.0,554.0,,,,,C,,2002-03,,,Memphis,
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,,,,,,,,,,Career,Career,,,,,,,,,128.0,63.0,2533.0,,,,,,,Career,,,Career,
brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,,,,,,,,,,FR,SEC,,,,,,,,,29.0,29.0,1013.0,,,,,F,,2003-04,,,LSU,
brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,,,,,,,,,,SO,SEC,,,,,,,,,30.0,29.0,1007.0,,,,,F,,2004-05,,,LSU,
brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,,,,,,,,,,Career,Career,,,,,,,,,59.0,58.0,2020.0,,,,,,,Career,,,Career,
shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,,,,,,,,,,FR,ACC,,,,,,,,,36.0,20.0,886.0,,,,,F,,1997-98,,,Duke,
shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,,,,,,,,,,SO,ACC,,,,,,,,,37.0,27.0,881.0,,,,,F,,1998-99,,,Duke,
shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,,,,,,,,AA-2,,JR,ACC,,,,,,,,,34.0,34.0,1206.0,,,,,F,,1999-00,,,Duke,
shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,,,,,,,,"AP POY-1,WA-1,AA-1,NA-1",,SR,ACC,,,,,,,,,39.0,39.0,1363.0,,,,,F,,2000-01,,,Duke,
shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,,,,,,,,,,Career,Career,,,,,,,,,146.0,120.0,4336.0,,,,,,,Career,,,Career,
tony-battie-1,https://www.sports-reference.com/cbb/players/tony-battie-1.html,,,,,,,,,,FR,SWC,,,,,,,,,29.0,,368.0,,,,,C,,1994-95,,,Texas Tech,
